"Enfermedad","Año","Comunidad","Casos","Tasa notificacion","Hombres","Mujeres","Rango edad","Casos edad"
"Tuberculosis",2022,"Cataluña",983,12.665,"","","",""
"Tuberculosis",2022,"C. Valenciana",292,5.716,"","","",""
"Tuberculosis",2022,"Extremadura",28,2.649,"","","",""
"Tuberculosis",2022,"Galicia",314,11.661,"","","",""
"Tuberculosis",2022,"Madrid",502,7.444,"","","",""
"Tuberculosis",2022,"Murcia",126,8.237,"","","",""
"Tuberculosis",2022,"Navarra",40,6.019,"","","",""
"Tuberculosis",2022,"País Vasco",232,10.518,"","","",""
"Tuberculosis",2022,"La Rioja",19,5.945,"","","",""
"Tuberculosis",2022,"Ceuta",24,28.898,"","","",""
"Tuberculosis",2022,"Melilla",6,7.064,"","","",""
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","Total","3675"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","0-15","205"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","15-25","349"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","25-35","561"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","35-45","606"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","45-55","639"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282","55-65","509"
"Tuberculosis",2022,"España",3675,7.739,"2434","1282",">=65","847"
"Fiebre del nilo",2024,"Andalucia",118,1.367,"","","",""
"Fiebre del nilo",2024,"Extremadura",39,3.698,"","","",""
"Fiebre del nilo",2024,"Castilla-La Mancha",1,0.048,"","","",""
"Fiebre del nilo",2024,"España",158,0.325,"95","64","",""
"Fiebre del nilo",2022,"Andalucia",2,0.023,"","","",""
"Fiebre del nilo",2022,"Cataluña",2,0.026,"","","",""
"Fiebre del nilo",2022,"España",4,0.008,"4","6","",""
"Fiebre del nilo",2023,"Extremadura",15,1.423,"","","",""
"Fiebre del nilo",2023,"Andalucia",2,0.023,"","","",""
"Fiebre del nilo",2023,"Cataluña",1,0.013,"","","",""
"Fiebre del nilo",2023,"C. Valenciana",1,0.019,"","","",""
"Fiebre del nilo",2023,"Castilla-La Mancha",1,0.048,"","","",""
"Fiebre del nilo",2023,"España",20,0.042,"12","8","",""
" Fiebre hemorragica Crimea-Congo",2022,"Castilla y Leon",2,0.084,"","","",""
" Fiebre hemorragica Crimea-Congo",2022,"España",2,0.004,"","","",""
" Fiebre hemorragica Crimea-Congo",2023,"Castilla y Leon",1,0.042,"","","",""
" Fiebre hemorragica Crimea-Congo",2023,"España",1,0.002,"","","",""
" Fiebre hemorragica Crimea-Congo",2024,"Castilla y Leon",1,0.042,"","","",""
" Fiebre hemorragica Crimea-Congo",2024,"Castilla-La Mancha",1,0.048,"","","",""
" Fiebre hemorragica Crimea-Congo",2024,"Andalucia",1,0.012,"","","",""
" Fiebre hemorragica Crimea-Congo",2024,"España",4,0.008,"","","",""
"chikungunya",2022,"Andalucia",1,0.012,"","","",""
"chikungunya",2023,"Andalucia",32,0.373,"","","",""
"chikungunya",2024,"Andalucia",9,0.104,"","","",""
"chikungunya",2022,"Aragon",0,0,"","","",""
"chikungunya",2023,"Aragon",1,0.075,"","","",""
"chikungunya",2024,"Aragon",0,0,"","","",""
"chikungunya",2022,"Asturias",0,0,"","","",""
"chikungunya",2023,"Asturias",5,0.497,"","","",""
"chikungunya",2024,"Asturias",0,0,"","","",""
"chikungunya",2022,"Baleares",2,0.168,"","","",""
"chikungunya",2023,"Baleares",2,0.165,"","","",""
"chikungunya",2024,"Baleares",0,0,"","","",""
